method	path	path_html	app	controller	action	auth	auth_required	desc	file	line
UNKNOWN	/api/test/rsyncTaohuaSign	/api/test/rsyncTaohuaSign.html	api	Test	rsyncTaohuaSign	api-token(Userid)	unknown		app/api/controller/Test.php	215
UNKNOWN	/api/test/syncdb2	/api/test/syncdb2.html	api	Test	syncdb2	api-token(Userid)	unknown		app/api/controller/Test.php	55
UNKNOWN	/api/test/tokenTaohua	/api/test/tokenTaohua.html	api	Test	tokenTaohua	api-token(Userid)	unknown		app/api/controller/Test.php	74
UNKNOWN	/api/ticket/cancelRefund	/api/ticket/cancelRefund.html	api	Ticket	cancelRefund	api-token(Userid)	yes		app/api/controller/Ticket.php	1973
UNKNOWN	/api/ticket/create_file	/api/ticket/create_file.html	api	Ticket	create_file	api-token(Userid)	yes		app/api/controller/Ticket.php	1110
UNKNOWN	/api/ticket/getCommentList	/api/ticket/getCommentList.html	api	Ticket	getCommentList	api-token(Userid)	no		app/api/controller/Ticket.php	1315
UNKNOWN	/api/ticket/getOrderDetail	/api/ticket/getOrderDetail.html	api	Ticket	getOrderDetail	api-token(Userid)	yes		app/api/controller/Ticket.php	1387
UNKNOWN	/api/ticket/getOrderDetailDetail	/api/ticket/getOrderDetailDetail.html	api	Ticket	getOrderDetailDetail	api-token(Userid)	yes		app/api/controller/Ticket.php	1865
UNKNOWN	/api/ticket/getOrderList	/api/ticket/getOrderList.html	api	Ticket	getOrderList	api-token(Userid)	yes		app/api/controller/Ticket.php	1344
UNKNOWN	/api/ticket/getRefundLogDetail	/api/ticket/getRefundLogDetail.html	api	Ticket	getRefundLogDetail	api-token(Userid)	yes		app/api/controller/Ticket.php	1938
UNKNOWN	/api/ticket/getRefundLogList	/api/ticket/getRefundLogList.html	api	Ticket	getRefundLogList	api-token(Userid)	yes		app/api/controller/Ticket.php	1892
UNKNOWN	/api/ticket/getScenicList	/api/ticket/getScenicList.html	api	Ticket	getScenicList	api-token(Userid)	no	返回景区列表信息	app/api/controller/Ticket.php	1193
UNKNOWN	/api/ticket/getTicketList	/api/ticket/getTicketList.html	api	Ticket	getTicketList	api-token(Userid)	no		app/api/controller/Ticket.php	1123
