phase	group	tag	miniapp_used	method	path	path_html	python_status	route_methods	method_compatible	golden_p0	golden_p0_success	auth_required	auth	contract	app	controller	action	desc	file	line
M1	A1-money	PAY_API	no	UNKNOWN	/api/pay/regressionStock	/api/pay/regressionStock.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/pay/regressionstock.md	api	Pay	regressionStock		app/api/controller/Pay.php	281
M1	A1-money	PAY_API	yes	POST	/api/pay/submit	/api/pay/submit.html	implemented	POST	yes	yes	yes	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/pay/submit.md	api	Pay	submit	提交订单	app/api/controller/Pay.php	44
M1	A1-money	REFUND	no	UNKNOWN	/api/ticket/OrderRefund	/api/ticket/OrderRefund.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/ticket/orderrefund.md	api	Ticket	OrderRefund		app/api/controller/Ticket.php	883
M1	A1-money	REFUND	no	UNKNOWN	/api/ticket/OrderRefundDetail	/api/ticket/OrderRefundDetail.html	implemented	GET,POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/ticket/orderrefunddetail.md	api	Ticket	OrderRefundDetail		app/api/controller/Ticket.php	756
M1	A1-money	REFUND	yes	UNKNOWN	/api/ticket/cancelRefund	/api/ticket/cancelRefund.html	implemented	POST	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/ticket/cancelrefund.md	api	Ticket	cancelRefund		app/api/controller/Ticket.php	1973
M1	A1-money	REFUND	yes	UNKNOWN	/api/ticket/getRefundLogDetail	/api/ticket/getRefundLogDetail.html	implemented	GET	unknown	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/ticket/getrefundlogdetail.md	api	Ticket	getRefundLogDetail		app/api/controller/Ticket.php	1938
M1	A1-money	REFUND	yes	UNKNOWN	/api/ticket/getRefundLogList	/api/ticket/getRefundLogList.html	implemented	GET	unknown	yes	yes	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/ticket/getrefundloglist.md	api	Ticket	getRefundLogList		app/api/controller/Ticket.php	1892
M1	A1-money	REFUND	no	UNKNOWN	/api/ticket/notify_refund	/api/ticket/notify_refund.html	implemented	POST	unknown	yes	no	no	api-token(Userid)	docs/rewrite/contracts/p0/api/ticket/notify_refund.md	api	Ticket	notify_refund		app/api/controller/Ticket.php	1008
M1	A1-money	REFUND	yes	POST	/api/ticket/refund	/api/ticket/refund.html	implemented	POST	yes	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/ticket/refund.md	api	Ticket	refund	提交退款整单退款	app/api/controller/Ticket.php	802
M1	A1-money	REFUND	yes	POST	/api/ticket/single_refund	/api/ticket/single_refund.html	implemented	POST	yes	yes	no	yes	api-token(Userid)	docs/rewrite/contracts/p0/api/ticket/single_refund.md	api	Ticket	single_refund	提交退款整单退款	app/api/controller/Ticket.php	660
