group	tag	miniapp_used	method	path	path_html	app	controller	action	auth	auth_required	contract	desc	file	line
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/appt/cancelAppt	/api/appt/cancelAppt.html	api	Appt	cancelAppt	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/appt/cancelappt.md		app/api/controller/Appt.php	349
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/appt/createAppt	/api/appt/createAppt.html	api	Appt	createAppt	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/appt/createappt.md		app/api/controller/Appt.php	87
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/appt/getDatetime	/api/appt/getDatetime.html	api	Appt	getDatetime	api-token(Userid)	no	docs/rewrite/contracts/p0/api/appt/getdatetime.md		app/api/controller/Appt.php	45
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/appt/getDetail	/api/appt/getDetail.html	api	Appt	getDetail	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/appt/getdetail.md		app/api/controller/Appt.php	235
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/appt/getList	/api/appt/getList.html	api	Appt	getList	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/appt/getlist.md		app/api/controller/Appt.php	213
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/appt/writeOff	/api/appt/writeOff.html	api	Appt	writeOff	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/appt/writeoff.md		app/api/controller/Appt.php	249
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/applicableto	/api/coupon/applicableto.html	api	Coupon	applicableto	api-token(Userid)	no	docs/rewrite/contracts/p0/api/coupon/applicableto.md		app/api/controller/Coupon.php	772
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/applicabletoV2	/api/coupon/applicabletoV2.html	api	Coupon	applicabletoV2	api-token(Userid)	no	docs/rewrite/contracts/p0/api/coupon/applicabletov2.md		app/api/controller/Coupon.php	709
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/detail	/api/coupon/detail.html	api	Coupon	detail	api-token(Userid)	no	docs/rewrite/contracts/p0/api/coupon/detail.md		app/api/controller/Coupon.php	593
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/encryptAES	/api/coupon/encryptAES.html	api	Coupon	encryptAES	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/coupon/encryptaes.md		app/api/controller/Coupon.php	1378
B1-miniapp	BUSINESS	yes	UNKNOWN	/api/coupon/getUserCouponRecordList	/api/coupon/getUserCouponRecordList.html	api	Coupon	getUserCouponRecordList	api-token(Userid)	yes	docs/rewrite/contracts/p0/api/coupon/getusercouponrecordlist.md		app/api/controller/Coupon.php	1489
